state,date,PRECTOTCORR,T2M,RH2M
Abia,20200502,1.81,26.6,89.15
Abia,20200503,1.86,26.75,89.23
Abia,20200504,1.2,27.57,82.23
Abia,20200505,0.29,27.82,82.75
Abia,20200506,1.92,27.77,86.1
Abia,20200507,7.66,27.5,87.45
Abia,20200508,4.6,27.64,84.84
Abia,20200509,4.01,27.65,86.05
Abia,20200510,15.06,25.87,92.16
Abia,20200511,3.54,26.89,83.52
Abia,20200512,2.06,26.82,86.36
Abia,20200513,3.13,26.75,87.13
Abia,20200514,0.89,27.1,86.77
Abia,20200515,6.5,26.95,88.08
Abia,20200516,1.66,26.56,90.94
Abia,20200517,11.12,25.98,89.79
Abia,20200518,3.58,27.15,85.81
Abia,20200519,3.68,26.03,92.83
Abia,20200520,3.18,25.72,89.96
Abia,20200521,7.49,25.79,90.06
Abia,20200522,11.85,26.44,86.81
Abia,20200523,3.58,26.76,87.13
Abia,20200524,17.31,26.6,89.47
Abia,20200525,60.97,25.92,92.2
Abia,20200526,2.79,26.48,88.58
Abia,20200527,1.97,26.25,91.49
Abia,20200528,0.34,26.52,90.99
Abia,20200529,1.48,26.31,91.02
Abia,20200530,2.46,25.71,93.46
Abia,20200531,4.31,25.86,90.97
Abia,20200601,13.83,25.32,94.35
Abia,20200602,3.24,25.25,92.38
Abia,20200603,1.97,26.1,89.75
Abia,20200604,1.35,26.14,87.71
Abia,20200605,4.89,26.5,86.95
Abia,20200606,7.2,26.33,89.32
Abia,20200607,9.01,26.37,84.09
Abia,20200608,8.84,25.8,89.24
Abia,20200609,3.21,25.18,88.94
Abia,20200610,5.8,25.6,87.59
Abia,20200611,7.56,25.94,88.72
Abia,20200612,10.92,24.49,92.1
Abia,20200613,5.49,25.92,85.87
Abia,20200614,6.16,25.13,93.42
Abia,20200615,2.17,26.63,85.91
Abia,20200616,3.85,26.14,91.01
Abia,20200617,6.15,25.44,93.32
Abia,20200618,3.03,25.03,92.5
Abia,20200619,1.52,26.05,84.76
Abia,20200620,13.42,25.18,86.28
Abia,20200621,15.77,24.54,91.5
Abia,20200622,8.61,25.08,90.75
Abia,20200623,2.01,25.96,86.32
Abia,20200624,2.47,25.14,90.29
Abia,20200625,23.32,26.01,89.63
Abia,20200626,14.11,25.49,91.66
Abia,20200627,17.3,24.76,91.82
Abia,20200628,18.12,25.27,89.76
Abia,20200629,24.13,24.66,91.45
Abia,20200630,8.56,24.43,89.35
Abia,20200701,2.34,25.18,86.02
Abia,20200702,5.43,25.99,88.11
Abia,20200703,17.5,25.19,93.56
Abia,20200704,10.12,24.3,95.26
Abia,20200705,14.25,24.68,91.07
Abia,20200706,17.42,25.59,88.88
Abia,20200707,11.91,24.79,93.13
Abia,20200708,5.18,24.8,91.25
Abia,20200709,9.76,25.49,89.37
Abia,20200710,20.4,24.48,92.88
Abia,20200711,6.51,24.6,91.26
Abia,20200712,4.77,25.02,88.28
Abia,20200713,7.73,25.0,90.18
Abia,20200714,16.34,24.51,91.91
Abia,20200715,29.87,24.51,89.9
Abia,20200716,24.9,24.79,89.97
Abia,20200717,2.4,25.14,87.69
Abia,20200718,4.76,24.89,89.23
Abia,20200719,15.24,25.38,89.59
Abia,20200720,16.13,24.63,91.97
Abia,20200721,10.36,24.38,92.95
Abia,20200722,5.7,25.21,87.25
Abia,20200723,6.64,24.85,90.87
Abia,20200724,6.58,25.04,90.28
Abia,20200725,4.61,25.25,89.83
Abia,20200726,7.2,24.28,92.79
Abia,20200727,10.71,24.41,91.76
Abia,20200728,7.21,24.92,89.8
Abia,20200729,3.99,24.86,88.76
Abia,20200730,5.02,24.76,89.2
Abia,20200731,2.71,24.38,90.04
Abia,20200801,0.78,25.07,86.82
Abia,20200802,3.34,24.29,90.89
Abia,20200803,1.92,24.92,88.5
Abia,20200804,0.4,24.71,87.18
Abia,20200805,0.14,24.17,86.46
Abia,20200806,0.2,23.56,87.42
Abia,20200807,0.3,23.86,87.15
Abia,20200808,0.3,24.57,87.04
Abia,20200809,0.19,24.33,85.12
Abia,20200810,0.17,24.34,85.82
Abia,20200811,0.19,25.05,85.84
Abia,20200812,0.21,25.61,83.73
Abia,20200813,0.34,25.65,85.11
Abia,20200814,0.96,24.8,88.2
Abia,20200815,4.38,25.56,87.87
Abia,20200816,3.03,25.53,86.59
Abia,20200817,2.74,25.76,87.34
Abia,20200818,4.69,25.57,88.74
Abia,20200819,11.13,25.61,88.82
Abia,20200820,17.32,24.81,91.31
Abia,20200821,8.73,24.19,91.89
Abia,20200822,5.88,25.5,87.95
Abia,20200823,12.93,24.29,92.06
Abia,20200824,1.72,24.17,90.21
Abia,20200825,0.28,25.32,83.73
Abia,20200826,0.92,25.71,85.57
Abia,20200827,1.78,24.67,90.32
Abia,20200828,7.62,24.21,92.96
Abia,20200829,11.06,24.18,90.26
Abia,20200830,13.39,24.81,87.24
Abia,20200831,9.69,25.22,88.51
Abia,20200901,35.42,24.18,93.62
Abia,20200902,7.16,25.67,87.37
Abia,20200903,4.78,25.5,89.47
Abia,20200904,25.81,24.74,92.22
Abia,20200905,9.03,24.31,92.52
Abia,20200906,7.11,25.15,88.36
Abia,20200907,6.41,25.61,86.51
Abia,20200908,15.18,24.46,94.19
Abia,20200909,3.41,24.31,92.4
Abia,20200910,2.21,24.74,89.12
Abia,20200911,18.71,25.2,90.51
Abia,20200912,5.2,24.44,92.21
Abia,20200913,5.07,25.15,90.13
Abia,20200914,4.85,24.95,90.6
Abia,20200915,31.61,25.08,91.46
Abia,20200916,6.5,24.79,91.9
Abia,20200917,8.13,25.5,86.51
Abia,20200918,15.45,25.75,89.53
Abia,20200919,57.03,24.62,93.88
Abia,20200920,7.68,24.48,91.36
Abia,20200921,1.27,25.05,84.39
Abia,20200922,3.77,25.65,85.36
Abia,20200923,82.24,24.36,93.18
Abia,20200924,8.91,25.15,87.68
Abia,20200925,21.51,24.92,91.2
Abia,20200926,5.01,24.61,93.3
Abia,20200927,80.0,24.23,91.92
Abia,20200928,38.11,24.35,90.1
Abia,20200929,27.86,24.47,93.68
Abia,20200930,2.96,25.14,90.28
Abia,20201001,1.58,24.99,91.34
Abia,20201002,3.46,25.44,90.17
Abia,20201003,4.01,25.49,89.6
Abia,20201004,6.74,25.75,90.87
Abia,20201005,5.34,25.89,87.61
Abia,20201006,6.25,24.32,91.85
Abia,20201007,1.25,24.4,88.67
Abia,20201008,1.5,25.14,88.27
Abia,20201009,4.0,25.18,82.8
Abia,20201010,1.55,24.93,88.55
Abia,20201011,2.35,24.37,91.78
Abia,20201012,0.37,25.42,87.09
Abia,20201013,5.39,24.71,93.13
Abia,20201014,6.39,24.74,92.23
Abia,20201015,5.36,24.73,90.61
Abia,20201016,6.55,24.52,92.11
Abia,20201017,5.4,25.17,86.59
Abia,20201018,0.35,26.1,86.81
Abia,20201019,3.41,25.01,93.18
Abia,20201020,1.06,24.69,93.17
Abia,20201021,2.03,25.14,90.95
Abia,20201022,0.59,25.55,90.28
Abia,20201023,2.75,25.12,92.35
Abia,20201024,31.87,25.23,90.87
Abia,20201025,6.29,25.21,91.04
Abia,20201026,2.69,24.96,92.85
Abia,20201027,2.38,26.32,84.96
Abia,20201028,10.07,26.19,88.77
Abia,20201029,8.94,25.74,89.7
Abia,20201030,3.92,26.54,85.81
Abia,20201031,5.02,26.9,84.68
Abia,20201101,12.03,25.16,93.74
Abia,20201102,0.95,25.91,85.37
Abia,20201103,0.31,26.38,86.61
Abia,20201104,0.9,25.33,91.59
Abia,20201105,0.77,25.95,87.44
Abia,20201106,0.59,26.99,84.07
Abia,20201107,9.19,25.56,86.78
Abia,20201108,1.16,25.23,78.71
Abia,20201109,1.27,26.29,79.06
Abia,20201110,3.04,26.27,85.45
Abia,20201111,4.11,26.33,85.58
Abia,20201112,0.15,25.03,84.4
Abia,20201113,0.02,26.08,78.59
Abia,20201114,0.49,26.53,83.69
Abia,20201115,1.21,25.98,87.64
Abia,20201116,2.11,25.91,87.46
Abia,20201117,0.36,26.75,82.68
Abia,20201118,0.2,26.54,83.39
Abia,20201119,0.14,26.41,83.44
Abia,20201120,0.56,26.26,86.72
Abia,20201121,0.93,25.3,85.95
Abia,20201122,6.59,26.23,82.5
Abia,20201123,3.97,26.79,81.64
Abia,20201124,0.73,26.52,86.8
Abia,20201125,2.6,26.69,87.03
Abia,20201126,3.25,26.29,90.09
Abia,20201127,37.95,26.4,86.38
Abia,20201128,25.98,26.6,85.39
Abia,20201129,4.15,26.79,80.99
Abia,20201130,0.7,26.17,77.29
Abia,20201201,1.29,25.96,80.08
Abia,20201202,0.0,26.29,82.51
Abia,20201203,0.0,25.57,83.02
Abia,20201204,0.0,26.55,81.4
Abia,20201205,0.0,26.68,84.15
Abia,20201206,0.0,26.75,83.69
Abia,20201207,1.68,25.17,93.01
Abia,20201208,0.03,26.23,84.71
Abia,20201209,0.17,26.27,87.44
Abia,20201210,0.19,25.65,92.3
Abia,20201211,0.16,25.93,90.17
Abia,20201212,1.41,25.35,92.68
Abia,20201213,1.66,25.57,90.27
Abia,20201214,4.7,25.83,89.06
Abia,20201215,3.94,26.09,87.43
Abia,20201216,1.67,26.49,84.41
Abia,20201217,0.2,26.11,86.62
Abia,20201218,0.29,25.69,90.68
Abia,20201219,0.08,26.1,85.85
Abia,20201220,0.09,25.71,88.15
Abia,20201221,0.16,26.16,86.99
Abia,20201222,0.02,26.25,87.92
Abia,20201223,0.05,26.5,86.25
Abia,20201224,0.06,26.18,88.1
Abia,20201225,0.01,26.32,76.86
Abia,20201226,0.0,24.75,71.43
Abia,20201227,0.0,25.38,79.4
Abia,20201228,0.0,26.26,83.07
Abia,20201229,0.0,26.14,79.89
Abia,20201230,0.0,26.37,83.9
Abia,20201231,0.0,26.45,85.66
Abia,20210101,0.08,26.14,88.02
Abia,20210102,0.06,26.18,88.77
Abia,20210103,0.12,26.21,88.92
Abia,20210104,0.07,26.87,84.94
Abia,20210105,0.09,26.45,89.33
Abia,20210106,7.32,26.68,86.42
Abia,20210107,6.54,26.26,88.19
Abia,20210108,3.05,26.48,87.05
Abia,20210109,2.9,26.69,85.45
Abia,20210110,4.34,26.64,83.79
Abia,20210111,0.07,26.8,82.81
Abia,20210112,0.15,26.74,82.84
Abia,20210113,0.03,26.51,81.31
Abia,20210114,0.07,26.39,81.22
Abia,20210115,0.03,26.75,79.79
Abia,20210116,0.01,26.49,82.52
Abia,20210117,0.01,26.6,80.74
Abia,20210118,0.0,26.62,81.22
Abia,20210119,0.01,26.98,75.41
Abia,20210120,0.0,24.93,68.19
Abia,20210121,0.0,24.85,71.21
Abia,20210122,0.0,24.45,72.1
Abia,20210123,0.0,24.71,67.33
Abia,20210124,0.0,25.02,74.14
Abia,20210125,0.0,26.17,82.05
Abia,20210126,0.17,26.02,84.71
Abia,20210127,0.32,26.12,86.54
Abia,20210128,1.15,26.09,87.95
Abia,20210129,0.15,26.04,80.46
Abia,20210130,0.03,25.29,72.79
Abia,20210131,0.03,25.02,83.41
Abia,20210201,0.06,26.17,85.16
Abia,20210202,0.21,26.87,83.26
Abia,20210203,0.16,26.99,82.94
Abia,20210204,0.03,26.75,75.78
Abia,20210205,0.0,25.58,79.97
Abia,20210206,0.0,24.94,69.89
Abia,20210207,0.0,25.24,78.58
Abia,20210208,0.0,26.47,84.69
Abia,20210209,0.0,27.29,79.58
Abia,20210210,0.35,27.68,80.0
Abia,20210211,0.4,27.39,83.13
Abia,20210212,1.12,27.01,85.68
Abia,20210213,1.37,27.17,85.38
Abia,20210214,0.44,27.43,84.78
Abia,20210215,0.18,27.11,85.27
Abia,20210216,0.05,27.46,81.36
Abia,20210217,0.13,25.68,72.91
Abia,20210218,0.0,24.56,65.87
Abia,20210219,0.0,24.19,56.88
Abia,20210220,0.0,25.69,60.6
Abia,20210221,0.01,26.01,74.43
Abia,20210222,0.0,25.71,83.97
Abia,20210223,0.02,25.99,85.53
Abia,20210224,0.03,26.03,83.13
Abia,20210225,0.15,26.1,84.25
Abia,20210226,0.64,25.98,87.68
Abia,20210227,0.73,27.14,81.19
Abia,20210228,0.3,26.89,84.67
Abia,20210301,0.59,27.36,84.07
Abia,20210302,0.0,27.17,83.28
Abia,20210303,0.0,26.74,85.84
Abia,20210304,0.0,27.1,84.44
Abia,20210305,0.0,27.02,85.67
Abia,20210306,0.0,26.95,85.71
Abia,20210307,1.09,27.44,85.46
Abia,20210308,3.03,27.27,87.19
Abia,20210309,3.33,27.59,85.17
Abia,20210310,5.9,26.55,88.95
Abia,20210311,4.54,26.6,87.79
Abia,20210312,4.51,26.56,87.03
Abia,20210313,7.96,26.75,86.98
Abia,20210314,10.61,25.38,91.78
Abia,20210315,1.76,25.54,86.29
Abia,20210316,1.91,25.72,89.03
Abia,20210317,0.56,26.14,84.09
Abia,20210318,0.53,25.87,86.9
Abia,20210319,1.17,25.77,84.09
Abia,20210320,0.64,25.18,88.73
Abia,20210321,0.02,26.21,83.24
Abia,20210322,6.39,25.44,90.93
Abia,20210323,3.79,26.21,86.6
Abia,20210324,5.2,25.02,91.47
Abia,20210325,2.95,25.79,85.5
Abia,20210326,2.24,26.11,85.29
Abia,20210327,0.0,26.93,84.72
Abia,20210328,0.0,27.33,73.57
Abia,20210329,0.0,26.33,78.13
Abia,20210330,0.0,27.07,81.68
Abia,20210331,0.0,26.91,82.99
Abia,20210401,0.08,27.25,83.87
Abia,20210402,0.08,27.05,85.34
Abia,20210403,0.04,27.53,83.01
Abia,20210404,0.1,27.0,86.68
Abia,20210405,0.07,27.35,85.09
Abia,20210406,8.86,26.73,89.77
Abia,20210407,5.97,26.81,89.85
Abia,20210408,8.36,26.25,91.85
Abia,20210409,2.5,26.55,87.53
Abia,20210410,7.28,26.87,86.63
Abia,20210411,41.52,26.11,89.68
Abia,20210412,2.02,27.02,82.77
Abia,20210413,38.39,25.88,90.55
Abia,20210414,14.02,25.97,85.86
Abia,20210415,4.49,27.41,80.47
Abia,20210416,8.62,25.74,92.55
Abia,20210417,3.44,26.32,88.42
Abia,20210418,3.26,26.72,83.61
Abia,20210419,2.95,26.92,86.09
Abia,20210420,2.69,26.47,88.35
Abia,20210421,5.79,26.7,88.7
Abia,20210422,5.43,26.67,85.48
Abia,20210423,11.63,27.24,85.44
Abia,20210424,1.15,26.24,89.66
Abia,20210425,1.52,27.54,81.81
Abia,20210426,0.86,27.19,86.44
Abia,20210427,4.25,26.53,90.69
Abia,20210428,1.1,26.97,86.91
Abia,20210429,1.56,26.5,87.67
Abia,20210430,1.85,26.96,85.23
Abia,20210501,12.05,26.21,90.81
Abia,20210502,1.77,27.02,86.52
Abia,20210503,2.96,25.71,92.77
Abia,20210504,1.3,26.02,88.2
Abia,20210505,1.21,26.3,86.29
Abia,20210506,5.81,25.89,90.03
Abia,20210507,1.27,26.57,81.35
Abia,20210508,7.18,25.31,89.77
Abia,20210509,1.39,25.46,82.43
Abia,20210510,1.0,26.06,84.74
Abia,20210511,1.57,27.05,86.2
Abia,20210512,3.53,25.92,91.74
Abia,20210513,3.3,26.06,90.22
Abia,20210514,1.68,26.68,86.99
Abia,20210515,10.96,27.87,83.57
Abia,20210516,1.22,26.74,89.19
Abia,20210517,2.04,26.88,85.08
Abia,20210518,8.24,26.66,86.56
Abia,20210519,4.19,26.73,88.75
Abia,20210520,7.5,25.95,92.12
Abia,20210521,5.19,26.81,85.8
Abia,20210522,1.7,25.64,92.27
Abia,20210523,1.51,26.58,86.53
Abia,20210524,1.24,26.97,85.92
Abia,20210525,3.2,26.84,90.32
Abia,20210526,4.84,26.61,89.59
Abia,20210527,6.38,26.57,89.72
Abia,20210528,3.74,26.1,90.18
Abia,20210529,5.65,26.54,89.35
Abia,20210530,4.44,26.86,89.87
Abia,20210531,96.99,26.13,94.66
Abia,20210601,37.87,26.51,86.14
Abia,20210602,1.96,25.82,88.05
Abia,20210603,3.26,26.36,88.08
Abia,20210604,5.61,25.34,93.42
Abia,20210605,10.24,25.54,89.71
Abia,20210606,6.67,27.26,76.18
Abia,20210607,0.68,27.51,77.82
Abia,20210608,10.54,26.77,88.97
Abia,20210609,17.57,25.79,93.46
Abia,20210610,1.3,27.45,82.26
Abia,20210611,6.73,25.97,90.62
Abia,20210612,1.33,25.78,87.73
Abia,20210613,0.77,26.7,85.68
Abia,20210614,1.73,26.14,91.77
Abia,20210615,9.86,25.57,91.07
Abia,20210616,8.69,26.03,86.61
Abia,20210617,6.56,25.71,87.97
Abia,20210618,12.06,25.86,89.09
Abia,20210619,17.98,25.06,93.63
Abia,20210620,1.8,25.55,88.99
Abia,20210621,9.95,24.68,92.72
Abia,20210622,1.82,24.29,93.85
Abia,20210623,0.77,25.05,89.05
Abia,20210624,0.54,26.03,84.54
Abia,20210625,11.06,24.97,93.13
Abia,20210626,7.83,25.4,91.17
Abia,20210627,7.03,24.72,92.26
Abia,20210628,7.53,24.73,89.93
Abia,20210629,8.13,24.91,86.57
Abia,20210630,2.74,25.68,85.0
Abia,20210701,4.62,25.52,89.97
Abia,20210702,7.57,25.29,91.09
Abia,20210703,31.22,24.71,93.61
Abia,20210704,6.1,24.54,90.6
Abia,20210705,35.98,24.56,90.55
Abia,20210706,2.11,24.43,89.46
Abia,20210707,4.48,25.19,90.34
Abia,20210708,8.82,25.05,91.98
Abia,20210709,7.49,25.31,89.69
Abia,20210710,1.86,24.88,88.64
Abia,20210711,3.73,25.62,88.01
Abia,20210712,8.36,24.66,92.36
Abia,20210713,5.77,25.4,89.92
Abia,20210714,11.37,25.67,89.06
Abia,20210715,7.79,25.22,90.94
Abia,20210716,37.44,24.09,94.48
Abia,20210717,1.23,25.03,88.98
Abia,20210718,0.25,25.33,87.37
Abia,20210719,1.66,25.4,88.01
Abia,20210720,2.29,25.63,88.15
Abia,20210721,1.68,24.99,89.82
Abia,20210722,1.72,24.98,90.44
Abia,20210723,2.63,25.12,90.06
Abia,20210724,1.5,24.67,89.73
Abia,20210725,0.18,24.59,86.54
Abia,20210726,0.13,24.66,86.32
Abia,20210727,0.53,24.24,88.05
Abia,20210728,0.42,24.97,86.04
Abia,20210729,0.15,25.12,85.16
Abia,20210730,0.9,24.43,87.94
Abia,20210731,1.34,25.21,86.53
Abia,20210801,4.14,25.3,88.7
Abia,20210802,8.79,25.46,89.01
Abia,20210803,20.69,25.5,89.66
Abia,20210804,3.04,25.07,91.5
Abia,20210805,3.96,24.42,93.04
Abia,20210806,2.2,24.26,92.18
Abia,20210807,5.06,24.69,90.24
Abia,20210808,2.35,23.8,91.79
Abia,20210809,32.53,25.07,87.6
Abia,20210810,37.0,25.32,90.4
Abia,20210811,34.99,24.66,92.66
Abia,20210812,16.14,24.4,91.82
Abia,20210813,12.11,25.42,87.98
Abia,20210814,4.25,24.98,89.68
Abia,20210815,5.09,25.64,88.83
Abia,20210816,4.46,24.95,91.46
Abia,20210817,12.13,24.63,91.8
Abia,20210818,5.44,24.62,90.75
Abia,20210819,9.28,24.3,92.1
Abia,20210820,13.12,24.68,90.52
Abia,20210821,9.85,24.62,91.57
Abia,20210822,10.27,24.75,89.64
Abia,20210823,2.55,25.44,88.81
Abia,20210824,3.1,25.73,89.7
Abia,20210825,4.94,25.88,89.68
Abia,20210826,3.69,24.98,92.59
Abia,20210827,1.45,25.37,89.45
Abia,20210828,3.63,24.91,91.88
Abia,20210829,12.09,25.37,90.18
Abia,20210830,4.62,26.06,88.37
Abia,20210831,6.5,25.82,89.36
Abia,20210901,14.23,24.5,94.17
Abia,20210902,11.37,24.91,91.22
Abia,20210903,9.12,25.37,89.71
Abia,20210904,5.01,24.28,92.55
Abia,20210905,3.81,24.44,90.43
Abia,20210906,1.74,25.05,89.37
Abia,20210907,2.58,25.63,89.61
Abia,20210908,2.87,25.78,90.56
Abia,20210909,4.14,26.15,86.72
Abia,20210910,21.01,24.98,94.69
Abia,20210911,3.23,25.31,90.05
Abia,20210912,5.14,24.82,92.61
Abia,20210913,2.94,24.78,89.05
Abia,20210914,0.42,25.08,87.65
Abia,20210915,1.17,25.8,85.34
Abia,20210916,2.8,25.33,91.74
Abia,20210917,1.23,25.34,88.23
Abia,20210918,7.29,25.82,89.36
Abia,20210919,8.34,25.29,91.36
Abia,20210920,7.56,24.84,92.74
Abia,20210921,14.0,24.69,93.62
Abia,20210922,6.52,24.56,93.47
Abia,20210923,1.76,25.89,83.09
Abia,20210924,6.47,25.59,89.46
Abia,20210925,6.54,24.41,89.3
Abia,20210926,1.3,24.73,88.84
Abia,20210927,4.1,25.33,88.28
Abia,20210928,1.44,25.73,87.65
Abia,20210929,1.4,24.81,90.92
Abia,20210930,9.08,25.49,90.41
Abia,20211001,10.54,25.01,93.45
Abia,20211002,2.33,26.11,88.12
Abia,20211003,7.98,25.69,91.15
Abia,20211004,0.98,25.56,90.18
Abia,20211005,25.82,25.35,92.01
Abia,20211006,30.25,25.73,89.83
Abia,20211007,3.54,26.54,83.6
Abia,20211008,5.34,26.78,87.92
Abia,20211009,72.73,25.31,95.15
Abia,20211010,1.91,25.99,89.85
Abia,20211011,5.05,25.35,92.05
Abia,20211012,11.66,25.54,91.31
Abia,20211013,4.73,25.41,92.03
Abia,20211014,1.24,25.22,91.76
Abia,20211015,0.71,25.87,88.82
Abia,20211016,3.17,25.95,90.01
Abia,20211017,4.89,25.18,92.52
Abia,20211018,0.62,26.21,86.03
Abia,20211019,2.77,25.09,92.86
Abia,20211020,1.12,24.67,92.2
Abia,20211021,1.03,25.42,90.8
Abia,20211022,32.53,24.64,95.55
Abia,20211023,3.89,24.71,90.86
Abia,20211024,0.4,26.71,80.6
Abia,20211025,3.08,25.88,91.43
Abia,20211026,1.68,25.57,90.31
Abia,20211027,2.22,26.29,85.15
Abia,20211028,12.41,25.22,89.41
Abia,20211029,10.55,26.61,84.62
Abia,20211030,4.32,24.65,92.81
Abia,20211031,3.02,25.2,89.43
Abia,20211101,34.65,24.49,93.56
Abia,20211102,1.24,24.89,88.83
Abia,20211103,0.75,25.63,88.04
Abia,20211104,1.89,25.72,90.61
Abia,20211105,2.42,26.1,89.83
Abia,20211106,2.17,25.2,94.11
Abia,20211107,10.95,25.52,89.93
Abia,20211108,5.49,25.67,92.48
Abia,20211109,10.65,26.08,90.73
Abia,20211110,12.54,25.47,93.05
Abia,20211111,12.75,24.96,92.13
Abia,20211112,1.24,24.4,92.91
Abia,20211113,3.03,26.22,84.34
Abia,20211114,8.36,26.39,85.99
Abia,20211115,5.11,26.2,89.33
Abia,20211116,5.08,26.38,86.27
Abia,20211117,0.62,25.89,88.92
Abia,20211118,1.98,26.23,88.65
Abia,20211119,28.82,24.97,93.46
Abia,20211120,4.71,25.79,86.53
Abia,20211121,0.85,26.54,85.58
Abia,20211122,7.17,26.14,90.91
Abia,20211123,11.58,26.59,87.4
Abia,20211124,2.18,26.47,86.91
Abia,20211125,6.76,26.67,86.51
Abia,20211126,4.29,26.48,86.7
Abia,20211127,0.64,26.34,86.57
